t,x2
0,0.048
1,0.0572829418214616
2,0.0652479060371367
3,0.0720807110983458
4,0.0779395895379727
5,0.0829597736591244
6,0.0872568708775792
7,0.0909300773339318
8,0.0940645240758552
9,0.0967334872390707
10,0.0990000341693863
11,0.100918556230407
12,0.10253599675517
13,0.103892900393862
14,0.105024317025462
15,0.105960602898746
16,0.1067279107321
17,0.107348987390687
18,0.107843585113549
19,0.108228685576322
20,0.108519080232401
21,0.108727637734714
22,0.108865431869918
23,0.10894210354116
24,0.108966052690033
25,0.108944520746808
26,0.108883779277499
27,0.108789343134008
28,0.108665898271454
29,0.108517615961557
30,0.108348020670309
31,0.108160241661187
32,0.107956951253368
33,0.107740482572059
34,0.107512868419477
35,0.107275846142201
36,0.10703095582682
37,0.106779497552464
38,0.106522628222656
39,0.10626132738585
40,0.105996457466494
41,0.10572875901932
42,0.105458871460589
43,0.105187354153223
44,0.104914680467844
45,0.10464127021694
46,0.104367474561105
47,0.104093605255792
48,0.103819923646413
49,0.103546658593738
50,0.103274005071781
51,0.103002129209118
52,0.102731171334218
53,0.102461256545667
54,0.102192483629007
55,0.101924943972953
56,0.10165870755759
57,0.101393837865144
58,0.101130385211149
59,0.10086839055074
60,0.100607889613339
61,0.100348908107163
62,0.100091469439148
63,0.0998355891220807
64,0.0995812800577877
65,0.0993285509400447
66,0.0990774063123545
67,0.0988278502771472
68,0.0985798827477562
69,0.0983335006101258
70,0.0980887009356643
71,0.0978454788140839
72,0.0976038273286528
73,0.0973637397774327
74,0.0971252077339495
75,0.0968882219870964
76,0.09665277319218
77,0.0964188506898459
78,0.0961864436095728
79,0.0959555409799581
80,0.095726131326986
81,0.095498203132501
82,0.0952717445915822
83,0.0950467436910292
84,0.0948231886301109
85,0.0946010675399992
86,0.0943803678557147
87,0.0941610772169759
88,0.0939431833869385
89,0.0937266741944424
90,0.0935115375780757
91,0.0932977613965437
92,0.0930853335232454
93,0.092874242266569
94,0.0926644759013108
95,0.0924560225759205
96,0.0922488705787174
97,0.0920430086448968
98,0.0918384252565747
99,0.0916351088716081
100,0.0914330484091166
101,0.0912322329109488
102,0.091032651197348
103,0.0908342921948196
104,0.0906371454683881
105,0.090441200319902
106,0.090246445976715
107,0.0900528720934085
108,0.0898604685708388
109,0.0896692250341561
110,0.0894791312048612
111,0.0892901774183738
112,0.0891023537654883
113,0.0889156502615894
114,0.0887300573206295
115,0.0885455656112715
116,0.0883621655309168
117,0.0881798474457129
118,0.0879986018885235
119,0.0878184200692896
120,0.0876392932688011
121,0.0874612127678482
122,0.0872841698472207
123,0.0871081557877087
124,0.0869331618701021
125,0.0867591793751909
126,0.0865861995837651
127,0.0864142137646548
128,0.0862432131365276
129,0.0860731897539372
130,0.0859041359134615
131,0.0857360439116784
132,0.0855689060451657
133,0.0854027146105013
134,0.0852374619042631
135,0.0850731402230291
136,0.084909741863377
137,0.0847472591218847
138,0.0845856847733369
139,0.0844250120533777
140,0.0842652338263997
141,0.0841063426363983
142,0.0839483309604846
143,0.0837911914929909
144,0.0836349174619279
145,0.0834795020435854
146,0.083324938457625
147,0.0831712201029232
148,0.0830183403776855
149,0.0828662926087735
150,0.0827150702085397
151,0.0825646667191238
152,0.0824150757635264
153,0.0822662910426291
154,0.0821183063026322
155,0.0819711153657556
156,0.0818247120861218
157,0.0816790904166305
158,0.0815342443455887
159,0.0813901680663637
160,0.0812468556995695
161,0.0811043013153294
162,0.0809624989837667
163,0.0808214430566836
164,0.0806811281305845
165,0.0805415485343493
166,0.0804026985955267
167,0.0802645727164721
168,0.0801271657567522
169,0.0799904723513707
170,0.0798544870737577
171,0.0797192044990098
172,0.0795846195471022
173,0.0794507272151282
174,0.0793175223109462
175,0.0791849996424143
176,0.0790531539997918
177,0.0789219803570199
178,0.0787914740025882
179,0.0786616302398083
180,0.078532444371992
181,0.0784039117024512
182,0.0782760275344975
183,0.0781487871714427
184,0.0780221859165986
185,0.0778962190732769
186,0.0777708819447895
187,0.0776461698109336
188,0.0775220779115899
189,0.0773986019829086
190,0.0772757378529908
191,0.0771534813499372
192,0.0770318283018487
193,0.0769107745368263
194,0.0767903158829708
195,0.0766704481683831
196,0.0765511672211641
197,0.0764324688694147
198,0.0763143489383977
199,0.0761968030950157
200,0.0760798273400011
201,0.0759634178755367
202,0.0758475709038048
203,0.0757322826269881
204,0.0756175492472691
205,0.0755033669668305
206,0.0753897319878547
207,0.0752766405125244
208,0.0751640887430221
209,0.0750520728815304
210,0.0749405891374081
211,0.074829633952484
212,0.0747192039250048
213,0.0746092956544382
214,0.074499905740252
215,0.0743910307819139
216,0.0742826673788917
217,0.0741748121306531
218,0.0740674616366659
219,0.0739606124963978
220,0.0738542613093166
221,0.0737484045984433
222,0.0736430387901033
223,0.073538160811278
224,0.0734337676379527
225,0.0733298562461125
226,0.0732264236117428
227,0.0731234667108288
228,0.073020982519356
229,0.0729189680133094
230,0.0728174201686745
231,0.0727163358084255
232,0.0726157109921328
233,0.0725155427572704
234,0.0724158283377929
235,0.0723165649676545
236,0.0722177498808097
237,0.0721193803112129
238,0.0720214534928185
239,0.0719239666595809
240,0.0718269170454546
241,0.0717303018443413
242,0.0716341179069617
243,0.0715383625034706
244,0.0714430330340267
245,0.0713481268987887
246,0.0712536414979151
247,0.0711595742315647
248,0.0710659224998961
249,0.0709726837030679
250,0.0708798552412388
251,0.0707874345036303
252,0.070695418723267
253,0.0706038054168513
254,0.0705125922124869
255,0.0704217767382779
256,0.0703313566223282
257,0.0702413294927416
258,0.0701516929776221
259,0.0700624447050737
