"t","x1","x2","y1","y2"
154,0.01651895048675415,0.34026614386185483,0.009863853228759238,0.09602385370979803
155,0.016363047630663714,0.34098747865021545,0.009769816368844577,0.09627875749475731
156,0.016208669139314062,0.3416989833037534,0.009676717212325818,0.0965305320416503
157,0.016055799469514624,0.3424007507197923,0.009584545855520737,0.09677919803616324
158,0.015904423077679877,0.3430928737708179,0.009493292394151571,0.0970247761584634
159,0.01575452442022428,0.3437754453293158,0.009402946923940557,0.09726728708871804
160,0.015606087953562305,0.344448558267772,0.009313499540609928,0.09750675150709444
161,0.01545909814022502,0.3451123055301475,0.009224940344369681,0.09774319012058018
162,0.015313539858107952,0.34576678191143717,0.009137259723957581,0.09797662474087131
163,0.015169398641487182,0.3464120827171055,0.009050448511010271,0.09820707834912862
164,0.015026660080856704,0.34704830292248123,0.008964497573077768,0.09843457393745446
165,0.014885309766710505,0.3476755375028932,0.008879397777710088,0.09865913449795119
166,0.014745333289542577,0.3482938814336703,0.008795139992457247,0.09888078302272119
167,0.014606716239846908,0.3489034296901413,0.008711715084869263,0.0990995425038668
168,0.014469444271596497,0.34950427744617674,0.00862911396436698,0.09931543612772212
169,0.014333503674353454,0.35009651998934815,0.00854732795722151,0.09952848829911874
170,0.014198881096846252,0.3506802515938669,0.00846634862389142,0.09973872369387303
171,0.014065563191353565,0.35125556646531114,0.008386167527075508,0.09994616696776581
172,0.01393353661015406,0.3518225588092591,0.008306776229472578,0.1001508427765779
173,0.01380278800552641,0.35238132283128903,0.008228166293781434,0.10035277577609013
174,0.013673304029792945,0.3529319527387349,0.008150329282753353,0.1005519906224397
175,0.013545071530773788,0.35347454340358,0.008073256904056794,0.10074851231743162
176,0.013418077982022556,0.35400918851737795,0.007996941287809495,0.10094236639470447
177,0.01329231098101262,0.3545359807404885,0.007921374637812662,0.10113357835471096
178,0.013167758125217349,0.3550550127332709,0.007846549157867498,0.10132217369790375
179,0.01304440701211011,0.3555663771560848,0.007772457051775204,0.10150817792473553
180,0.012922245239164278,0.3560701666692896,0.007699090523336986,0.10169161653565897
181,0.012801260452568004,0.3565664739088618,0.007626441809360444,0.10187251504380339
182,0.012681440844289333,0.35705539149844334,0.007554503517258816,0.102050899047489
183,0.012562774663662821,0.35753701248108727,0.007483268294647892,0.10222679406113977
184,0.012445250190685882,0.3580114275401148,0.0074127287900717645,0.10240022589154188
185,0.012328855923479388,0.3584787244442342,0.007342877775212004,0.10257122071359308
186,0.012213580409099528,0.35893899176877714,0.0072737080642843645,0.10273980454431816
187,0.012099412350972116,0.35939231917602876,0.007205212597505672,0.10290600306339046
188,0.01198634055033925,0.35983879549656156,0.007137384374497502,0.10306984203571189
189,0.011874353941036704,0.3602785086792619,0.007070216475465064,0.10323134721159377
190,0.011763441601635647,0.36071154616889295,0.007003702076823764,0.10339054429683017
191,0.011653592682894126,0.3611379947914464,0.006937834401832295,0.10354745898981549
192,0.011544796516767755,0.3615579402311036,0.0068726067913214475,0.10370211695463115
193,0.011437042555854801,0.36197146765151134,0.006808012665292548,0.10385454374497004
194,0.011330320458764018,0.36237866117289297,0.006744045578376861,0.10400476473409734
195,0.01122461980760405,0.36277960524107417,0.006680699034973252,0.10415280542260605
196,0.011119930180879463,0.3631743843186557,0.00661796653711958,0.10429869131568811
197,0.011016241293485541,0.3635630820500869,0.006555841675667957,0.10444244779286738
198,0.010913543560472434,0.3639457778798785,0.006494318497393992,0.10458409958855691
199,0.010811827032757971,0.3643225534368198,0.006433390811959353,0.10472367177267507
200,0.01071108168170947,0.3646934908268909,0.006373052377224382,0.10486118948843676
201,0.010611297519816317,0.3650586718664353,0.006313296977794089,0.10499667783623123
202,0.0105124653543144,0.36541817277413413,0.006254118915154741,0.10513016108877819
203,0.010414575829505777,0.3657720709162652,0.006195512384824929,0.10526166368848083
204,0.010317619370405765,0.3661204452036155,0.006137471439705176,0.10539121030611322
205,0.010221586402272206,0.3664633745451971,0.006079990132852536,0.10551882561211175
206,0.010126467907496876,0.3668009337726462,0.006023062876910263,0.10564453350114021
207,0.010032255114470754,0.36713319591725774,0.005966684243294774,0.10576835752532457
208,0.009938938879703298,0.3674602367319357,0.005910848563402173,0.10589032175461151
209,0.009846510059703965,0.3677821319695839,0.005855550168628563,0.10601045025894772
210,0.009754959593678282,0.3680989566591586,0.0058007834431164276,0.10612876691332183
211,0.009664278929551103,0.3684107817918826,0.005746543097683802,0.10624529467285439
212,0.00957445969197267,0.3687176771932861,0.005692823957885706,0.10636005633239952
213,0.009485493504726463,0.36901971270418266,0.005639620848764975,0.10647307469402725
214,0.009397371991595963,0.36931695816538584,0.0055869285953644415,0.1065843725598076
215,0.009310086776364647,0.3696094834177092,0.005534742022726938,0.10669397273181058
216,0.009223629482815994,0.3698973583019663,0.005483055955895299,0.10680189801210618
217,0.00913799163858822,0.37018065246176796,0.005431865158625824,0.10690817111801547
218,0.009053165165538385,0.37045943164382067,0.005381164649358537,0.10701281392927736
219,0.008969142301769283,0.3707337597538177,0.00533094964991596,0.10711584797737132
220,0.008885915285458162,0.37100370069716404,0.00528121538216839,0.10721729479373134
221,0.008803476354782264,0.3712693183792644,0.005231957067986126,0.10731717590979134
222,0.008721817747918838,0.37153067670552364,0.0051831699292394645,0.10741551285698533
223,0.008640931697979349,0.37178783962955797,0.005134849184255668,0.10751232716387278
224,0.00856081039369685,0.3720408716602239,0.005086990011309935,0.10760763993502788
225,0.008481446424428192,0.37228983385459274,0.005039587844392033,0.10770147141905019
226,0.00840283251073601,0.372534786079822,0.004992638205270976,0.1077938417625903
227,0.00832496137318293,0.3727757882030691,0.00494613661571578,0.10788477111229877
228,0.008247825732331585,0.3730129000914916,0.004900078597495456,0.10797427961482618
229,0.008171418308744608,0.373246181612247,0.004854459672379022,0.1080623874168231
230,0.008095731822151108,0.3734756925413588,0.0048092753621646715,0.10814911464565115
231,0.008020759153116255,0.37370149026676297,0.004764521296031789,0.10823448081843509
232,0.00794649348881376,0.3739236296725599,0.004720193296273265,0.10831850473334001
233,0.007872928045646101,0.3741421655303102,0.004676287202877585,0.10840120514735499
234,0.007800056040015757,0.3743571526115746,0.0046327988558332355,0.10848260081746908
235,0.007727870688325205,0.3745686456879137,0.004589724095128703,0.10856271050067136
236,0.007656365206976925,0.37477669953088816,0.004547058760752475,0.10864155295395089
237,0.007585532818129309,0.3749813685536943,0.00450479869639594,0.10871914690594758
238,0.007515366964031432,0.37518270378599666,0.0044629398863292825,0.10879551044468633
239,0.007445861310407283,0.3753807545031707,0.0044214784573985205,0.10887066107996393
240,0.007377009530966806,0.37557556997455493,0.004380410541539121,0.10894461630334819
241,0.007308805299419946,0.3757671994694878,0.004339732270686554,0.10901739360640687
242,0.007241242289476649,0.3759556922573076,0.004299439776776284,0.10908901048070778
243,0.0071743141748468586,0.37614109760735304,0.004259529191743782,0.10915948441781868
244,0.0071080147699434226,0.37632346384356435,0.004219996731198888,0.10922883233821036
245,0.007042338130712445,0.3765028374241554,0.004180838756771432,0.10929707025458345
246,0.006977278189634925,0.37667926546089714,0.004142051558395268,0.1093642147333822
247,0.006912828876405084,0.37685279508295416,0.004103631424360046,0.10943028235275991
248,0.00684898425413393,0.37702347219683785,0.004065574727806689,0.10949528921693362
249,0.006785738686395522,0.3771913399555671,0.00402787803296656,0.10955925036278583
250,0.006723086322736402,0.3773564434735439,0.003990537767952416,0.10962218158748874
251,0.00666102129972408,0.3775188279841123,0.0039535503526225224,0.10968409873431995
252,0.00659953786388812,0.3776785373907339,0.003916912276106806,0.10974501730917968
253,0.006538630660466957,0.377835610774881,0.0038806202787057087,0.1098049515946795
254,0.006478294099010882,0.37799009006844064,0.0038446709522456414,0.10986391659655162
255,0.006418522557674446,0.37814201758300053,0.003809060868774968,0.10992192741685439
256,0.0063593104842573165,0.378291434891509,0.003773786643811772,0.1099789989228503
257,0.006300652733416775,0.37843837925188084,0.0037388451468185462,0.11003514461015573
258,0.0062425439658194805,0.37858288997944844,0.0037042331261765192,0.110090378628391
259,0.006184978791326134,0.37872500692838,0.0036699472985558534,0.11014471529845941
260,0.0061279518547362926,0.37886476959764404,0.0036359844024727857,0.11019816881821881
261,0.00607145815739415,0.3790022138614613,0.003602341399378743,0.11025075212986996
262,0.006015492600939398,0.3791373766076808,0.0035690151883833294,0.11030247852674681
263,0.005960050025081302,0.3792702953537561,0.0035360026298731696,0.11035336152028613
264,0.00590512542974474,0.3794010059200565,0.003503300683948813,0.11040341406735155
265,0.005850713946584425,0.3795295427316026,0.003470906392695948,0.11045264866883474
266,0.005796810583948034,0.37965594151954524,0.00343881672145725,0.11050107825244448
267,0.005743410394636978,0.3797802375396522,0.0034070286632812206,0.11054871559100307
268,0.005690508695058109,0.37990246322882987,0.003375539375507777,0.11059557253889718
269,0.005638100693833965,0.380022652176575,0.003344345948300536,0.110641661326048
270,0.005586181570688762,0.380140838281633,0.00331344545381118,0.11068699428301414
271,0.005534746702653577,0.38025705337468335,0.0032828350869518958,0.11073158304395828
272,0.005483791529627913,0.38037132862745204,0.0032525120817503885,0.11077543902114861
273,0.0054333113944584404,0.38048369622892136,0.003222473611849971,0.11081857396940195
274,0.005383301647279711,0.38059418830346814,0.0031927168552613803,0.11086099961661865
275,0.005333757804436422,0.38070283528010473,0.003163239092745468,0.11090272709932114
276,0.005284675531914637,0.38080966600218646,0.003134037698410703,0.110943767027614
277,0.005236050500351187,0.3809147092616001,0.0031051100492977394,0.11098412999546266
278,0.005187878380382898,0.3810179938502322,0.0030764535224472303,0.11102382659683259
279,0.005140154842646601,0.38111954855996955,0.00304806549489983,0.1110628674256892
280,0.005092875557779125,0.38121940218269873,0.003019943343696192,0.11110126307599796
281,0.005046036194506814,0.3813175835297718,0.002992084444691601,0.11113902414853388
282,0.004999632424580721,0.38141412135793534,0.002964486175711281,0.11117616123621972
283,0.0049536601818934035,0.3815090416855337,0.002937146077491977,0.11121268400593468
284,0.0049081154798261565,0.3816023697094276,0.00291006174013503,0.11124860184266226
285,0.004862994331760276,0.3816941306264781,0.002883230753741781,0.11128392413138598
286,0.004818292751077057,0.3817843496335459,0.0028566507084135705,0.11131866025708932
287,0.0047740067511577965,0.3818730519274919,0.0028303191942517397,0.11135281960475582
288,0.004730132345383787,0.3819602627051769,0.0028042338013576293,0.11138641155936896
289,0.004686665524460738,0.38204600750833184,0.002778392104577508,0.11141944558608205
290,0.004643602364163851,0.3821303113238282,0.0027527917280122764,0.1114519308500644
291,0.004600939129355187,0.3822131970201028,0.0027274304147967433,0.11148387584876619
292,0.004558672092359664,0.38229468737348354,0.0027023059128554695,0.1115152890532752
293,0.004516797525502201,0.38237480516029815,0.002677415970113016,0.11154617893467919
294,0.004475311701107716,0.3824535731568745,0.002652758334493943,0.11157655396406593
295,0.004434210891501129,0.3825310141395403,0.0026283307539228117,0.1116064226125232
296,0.004393491368377399,0.3826071508924256,0.0026041309759626463,0.11163579335372315
297,0.00435314945716117,0.382682005719321,0.0025801567819484336,0.11166467448224371
298,0.004313181663367009,0.3827555991607406,0.0025564060639799886,0.1116930736581518
299,0.004273584524248353,0.3828279514334671,0.0025328767334724307,0.11172099842679195
300,0.004234354577058633,0.382899082754283,0.0025095667018408797,0.11174845633350872
301,0.004195488359051284,0.38296901333997097,0.0024864738805004546,0.11177545492364664
302,0.00415698240747974,0.3830377634073136,0.0024635961808662757,0.11180200174255028
303,0.004118833259597434,0.3831053531730934,0.002440931514353462,0.11182810433556419
304,0.004081037459091969,0.38317180274888235,0.00241847779659436,0.11185377024919231
305,0.004043591685224684,0.38323713082461974,0.002396233027377452,0.111879006612294
306,0.004006492717160691,0.3833013551677834,0.0023741952677652787,0.11190382017640703
307,0.003969737335613003,0.38336449353370333,0.002352362579757069,0.11192821768603069
308,0.003933322321294639,0.3834265636777097,0.0023307330253520523,0.11195220588566425
309,0.0038972444549186126,0.3834875833551325,0.0023093046665494587,0.11197579151980697
310,0.003861500517197941,0.38354757032130177,0.0022880755653485172,0.11199898133295813
311,0.00382608729212318,0.3836065423128772,0.0022670437856412316,0.11202178205907841
312,0.0037910016655649617,0.38366451633935905,0.0022462074515359454,0.1120442000992907
313,0.003756240612455533,0.38372150857318854,0.0022255647416751455,0.11206624155655003
314,0.0037218011060231606,0.38377753515458773,0.002205113834111606,0.11208791253778999
315,0.003687680119496111,0.3838326122237786,0.0021848529068981006,0.11210921914994416
316,0.003653874626102651,0.3838867559209833,0.0021647801380874025,0.11213016749994613
