"t","x1","x2","y1","y2"
0,0.0572,0.048,0.052,0.044
1,0.058628567126373377,0.05888938425735201,0.05121375524100563,0.042819890025073075
2,0.05988974626861277,0.0686932576744567,0.050478864746405644,0.04184440664686056
3,0.06099986649451798,0.07755068802331222,0.04979077900765733,0.0410496661382208
4,0.061973667546720866,0.08558206313151301,0.04914539061337025,0.040414644926058514
5,0.06282445502028228,0.09289175404341557,0.048538991027838416,0.03992083862436895
6,0.06356424811240204,0.09957047393785227,0.04796822934759892,0.039551946756994465
7,0.06420390518150351,0.10569711985633481,0.04743007728143852,0.039293613940119716
8,0.06475324350403686,0.11134047059718831,0.04692179569223607,0.03913318489470422
9,0.06522114407300303,0.11656056623875184,0.04644090537032762,0.03905949769223171
10,0.06561563366083197,0.12140980113277865,0.04598516410292555,0.03906271840818778
11,0.0659439784335796,0.12593400103918875,0.04555254057518619,0.03913416802372986
12,0.06621275765842373,0.1301732871661676,0.045141193780640125,0.039266183640595274
13,0.06642792983013791,0.13416280549388193,0.04474945456369327,0.03945199784264539
14,0.06659489071058523,0.1379333455277294,0.04437580942958938,0.03968563469016359
15,0.06671852456409944,0.14151186626904638,0.04401888625291123,0.039961819710326835
16,0.06680325783710597,0.14492201600910143,0.04367743929922867,0.04027588906139069
17,0.06685310469626769,0.14818455316818457,0.043350336549375756,0.04062371510619541
18,0.06687170408660144,0.15131769026131442,0.04303654936765019,0.04100164519058649
19,0.0668623454633561,0.1543373317723873,0.04273514531332375,0.04140645844213831
20,0.06682802020970387,0.15725749497166697,0.042445273869642246,0.0418352894939465
21,0.06677144524016473,0.1600904862412144,0.04216615989854457,0.042285595087189286
22,0.06669506338864231,0.16284697678236262,0.041897103417866705,0.04275514145852258
23,0.0666011214069141,0.16553648878567886,0.04163745816440358,0.04324191218970408
24,0.06649162004602861,0.1681671560054975,0.041386645174380086,0.04374415432251853
25,0.06636840932956964,0.17074628496327565,0.041144126665755815,0.0442602718786896
26,0.0662331366350249,0.17328010089283938,0.04090942015573303,0.044788874233912666
27,0.06608731758479719,0.17577415077548422,0.04068207906274119,0.04532869964367294
28,0.06593231413677783,0.17823320527607941,0.04046169863865605,0.045878633782236895
29,0.065769363904989,0.18066143311025346,0.04024790792513153,0.046437676645768096
30,0.06559959538572507,0.18306248275692116,0.040040365594288536,0.04700492693504996
31,0.06542401567353329,0.18543944819959265,0.039838763224317786,0.04757958848957214
32,0.06524355609877255,0.18779508186899074,0.03964281291499564,0.04816092980988906
33,0.0650590444456329,0.19013169236619593,0.039452254757941396,0.04874830343822808
34,0.06487124187243723,0.192451305538031,0.03926684684454212,0.049341115350794364
35,0.06468082932401026,0.1947556235164178,0.03908636889551825,0.049938832679340475
36,0.06448842781758699,0.19704610929872496,0.03891061678129799,0.050540967686801774
37,0.06429459665815825,0.1993239924250806,0.03873940297043519,0.05114707668900397
38,0.06409984141504947,0.20159030112980986,0.03857255437745015,0.05175675398141763
39,0.06390462045421799,0.2038458968031323,0.038409910579784226,0.05236962535527431
40,0.06370934427264734,0.20609147352168328,0.0382513239907261,0.052985348222297515
41,0.06351438735909232,0.2083276060897728,0.038096656662778304,0.05360360259603786
42,0.06332008181498958,0.21055473096544275,0.03794578198957581,0.05422409478208471
43,0.06312673235634107,0.2127732005026044,0.03779858067847263,0.05484654716431249
44,0.06293460650996682,0.21498325461174467,0.03765494336528449,0.05547070374377096
45,0.06274395089707491,0.2171850736907016,0.03751476625852793,0.05609632008986874
46,0.06255497980496318,0.21937874816372743,0.0373779541821028,0.056723169433585734
47,0.062367891446940674,0.22156432633054451,0.03724441623786536,0.057351033426567895
48,0.062182856197031365,0.2237417856395021,0.0371140689344029,0.057979708116667306
49,0.06200003190432674,0.22591107371612307,0.036986832109241606,0.05860899578445731
50,0.06181955272470578,0.2280720839884792,0.03686263189585239,0.05923871034442368
51,0.06164154355127416,0.23022469005968452,0.03674139688760207,0.05986867011583178
52,0.06146610714232111,0.2323687206830496,0.036623061558109044,0.06049870393856617
53,0.06129333983465923,0.23450399195459223,0.03650756208758186,0.06112864372446344
54,0.06112332315176068,0.23663029486169407,0.03639483859046633,0.061758328068877544
55,0.06095612599139331,0.23874740061290536,0.03628483453735692,0.06238760135216861
56,0.0607918123201116,0.2408550725075024,0.03617749471254578,0.06301631029806522
57,0.0606304308503928,0.24295305451050936,0.03607276796499488,0.06364430864769048
58,0.06047202674738363,0.2450410875871887,0.03597060408961189,0.06427145172680947
59,0.06031663580665858,0.24711890213703536,0.03587095539098184,0.06489759948397407
60,0.06016428562978766,0.24918622376321228,0.03577377637228689,0.06552261580648518
61,0.06001500101956595,0.25124277615534263,0.03567902229017763,0.06614636599212469
62,0.05986879709936427,0.25328827977298846,0.035586651019099184,0.06676872039768342
63,0.05972568659514892,0.25532245600740155,0.03549662108636169,0.06738955067849045
64,0.059585676712573435,0.2573450257806785,0.03540889252863906,0.06800873169246678
65,0.059448769191731754,0.25935571349105513,0.035323426890996136,0.06862614166278538
66,0.05931496428818651,0.26135424419987224,0.035240186132202575,0.06924165980022737
67,0.05918425596882471,0.26334034901961156,0.03515913397531978,0.06985516970493612
68,0.05905663628110763,0.2653137629613827,0.03508023468819255,0.07046655641509962
69,0.058932095571450835,0.2672742244483501,0.03500345304591185,0.07107570665390026
70,0.0588106186584233,0.26922148093360204,0.034928755414344835,0.07168251166281402
71,0.05869218929336612,0.27115528162412394,0.03485610846112763,0.07228686346408801
72,0.05857679001411378,0.2730753850074101,0.03478547928918555,0.07288865644634086
