"p11","p12","I1","I2"
1.,1.,0.,0.0409992577977506
1.,0.996,0.0020240435556942993,0.0411371191369665
1.,0.992,0.003586638366833844,0.04148432469397229
1.,0.988,0.00485650954208422,0.04197384303483437
1.,0.984,0.0059272556183546515,0.042564141692789485
1.,0.98,0.006855370026105756,0.043227802714868674
1.,0.976,0.007677096858036414,0.04394584876042488
1.,0.972,0.008416806768003798,0.04470467651421109
1.,0.968,0.009091515378871179,0.045494265952329964
1.,0.964,0.00971347752750315,0.046307068318008966
1.,0.96,0.010291754344335463,0.04713729137188354
1.,0.956,0.010833199359808976,0.047980422724466475
1.,0.952,0.011343099926013983,0.04883289954397364
1.,0.948,0.011825607590917886,0.049691877498542016
1.,0.944,0.012284033949155837,0.05055506423183722
1.,0.94,0.012721058466293289,0.05142059678583829
1.,0.9359999999999999,0.013138877558776796,0.052286950731453695
1.,0.9319999999999999,0.013539313150624899,0.05315287080155766
1.,0.9279999999999999,0.013923893402619986,0.05401731888710629
1.,0.924,0.014293913005634457,0.054879432352576994
1.,0.92,0.014650479358063073,0.05573849243827861
1.,0.916,0.014994548015722309,0.05659389882627195
1.,0.912,0.01532695031003331,0.057445149403321384
1.,0.908,0.015648415010334288,0.05829182377337285
1.,0.904,0.015959585677078753,0.05913357044983901
1.,0.9,0.01626103431312345,0.05997009553810867
1.,0.896,0.01655327263942144,0.060801154344684624
1.,0.892,0.0168367610879869,0.06162654381175225
1.,0.888,0.017111916224792967,0.06244609643045324
1.,0.884,0.01737911686038482,0.06325967511834783
1.,0.88,0.01763870915267793,0.06406716902815596
1.,0.876,0.01789101081128311,0.06486848981889831
1.,0.872,0.018136314670647857,0.06566356864668696
1.,0.868,0.018374891697936768,0.0664523535752949
1.,0.864,0.018606993499051233,0.06723480720572168
1.,0.86,0.01883285454472325,0.06801090495204928
1.,0.856,0.01905269397287776,0.06878063319751798
1.,0.852,0.019266717245602666,0.06954398806792249
1.,0.848,0.01947511746613928,0.07030097397369957
1.,0.844,0.019678076647917098,0.07105160277759712
1.,0.84,0.019875766694877395,0.07179589263856904
1.,0.836,0.02006835036086535,0.07253386735260796
1.,0.832,0.020255982032371056,0.07326555557126238
1.,0.828,0.020438808439141365,0.07399099018768575
1.,0.8240000000000001,0.0206169692776077,0.07471020777999605
1.,0.8200000000000001,0.02079059776820713,0.07542324813535659
1.,0.8160000000000001,0.020959821156432745,0.07613015384721816
1.,0.812,0.021124761136705195,0.07683096987778983
1.,0.808,0.021285534265470862,0.0775257432857383
1.,0.804,0.02144225230436919,0.07821452288841911
1.,0.8,0.021595022546326448,0.078897359019909
0.996,1.,0.001221849534348027,0.038542428942203326
0.996,0.996,0.0029885932159316713,0.038798814738629964
0.996,0.992,0.004375558754439769,0.03923661477776105
0.996,0.988,0.005518164600678217,0.03979806511841423
0.996,0.984,0.0064928475344614225,0.04044696652301871
0.996,0.98,0.007346252938452775,0.04115923542257531
0.996,0.976,0.008108537050600113,0.04191813940708706
0.996,0.972,0.008800093171832585,0.04271166154047044
0.996,0.968,0.009435224108331905,0.043530941202354824
0.996,0.964,0.010024270243233303,0.04436930331936519
0.996,0.96,0.010574903064999724,0.04522162886834902
0.996,0.956,0.011092943045762443,0.046083932871292886
0.996,0.952,0.011582894233977426,0.04695307349436998
0.996,0.948,0.012048303761646947,0.04782654669416653
0.996,0.944,0.012492009651562308,0.048702338235482145
0.996,0.94,0.012916315373231993,0.049578815107713496
0.996,0.9359999999999999,0.013323115186246827,0.050454644564732996
0.996,0.9319999999999999,0.013713985705151142,0.05132873289145518
0.996,0.9279999999999999,0.014090253831411338,0.052200178490741385
0.996,0.924,0.014453047863547857,0.05306823552050862
0.996,0.92,0.014803336445370243,0.05393228540805539
0.996,0.916,0.0151419585956721,0.0547918143178499
0.996,0.912,0.01546964711232583,0.05564639516924707
0.996,0.908,0.015787046995133242,0.056495673167278666
0.996,0.904,0.016094730082244563,0.05733935407169213
0.996,0.9,0.016393206778894172,0.05817719461907497
0.996,0.896,0.01668293553202645,0.05900899465176182
0.996,0.892,0.0169643305420015,0.05983459061003229
0.996,0.888,0.017237768084121856,0.06065385012095346
0.996,0.884,0.01750359172541621,0.061466667475251605
0.996,0.88,0.0177621166571123,0.062272959827748255
0.996,0.876,0.018013633314399244,0.06307266399082359
0.996,0.872,0.018258410418062226,0.0638657337165919
0.996,0.868,0.018496697544288742,0.0646521373839144
0.996,0.864,0.018728727307172944,0.06543185602243506
0.996,0.86,0.018954717221542954,0.06620488161845665
0.996,0.856,0.01917487130055559,0.06697121565758057
0.996,0.852,0.019389381432123983,0.0677308678670451
0.996,0.848,0.01959842857004747,0.06848385512718098
0.996,0.844,0.01980218376918535,0.06923020052661602
0.996,0.84,0.020000809088798484,0.06996993254011016
0.996,0.836,0.02019445838398053,0.07070308431134933
0.996,0.832,0.02038327800171035,0.07142969302587376
0.996,0.828,0.020567407395296288,0.07214979936163839
0.996,0.8240000000000001,0.020746979668737994,0.07286344700664693
0.996,0.8200000000000001,0.020922122060680177,0.0735706822346791
0.996,0.8160000000000001,0.021092956376121737,0.07427155353148691
0.996,0.812,0.021259599372783496,0.07496611126493485
0.996,0.808,0.02142216310799817,0.07565440739349777
0.996,0.804,0.021580755251119448,0.07633649520832023
0.996,0.8,0.021735479365721205,0.0770124291047045
0.992,1.,0.0022671803003537763,0.03616667034806492
0.992,0.996,0.003814244557923174,0.03653250522715951
0.992,0.992,0.0050492655771798975,0.037054667009096945
0.992,0.988,0.00608093646447206,0.03768339989941576
0.992,0.984,0.006971504142393809,0.03838721767151971
0.992,0.98,0.00775931607351318,0.039145064267607756
0.992,0.976,0.008469331323500874,0.03994227215415447
0.992,0.972,0.009118515797335339,0.040768295402303575
0.992,0.968,0.009718818898941496,0.04161535668698254
0.992,0.964,0.010278911507520055,0.042477599930156484
0.992,0.96,0.010805248386408133,0.04335053868513575
0.992,0.956,0.011302742863802702,0.04423068537815331
0.992,0.952,0.011775209349398222,0.04511529529184398
0.992,0.948,0.012225661752830574,0.04600218563450405
0.992,0.944,0.012656519657759295,0.04688960506671413
0.992,0.94,0.0130697538345732,0.047776137927109164
