"p11","p12","I1","I2"
1.,1.,0.,0.0409992577977506
1.,0.99,0.0042511537917978015,0.04171431771661749
1.,0.98,0.006855370026105756,0.043227802714868674
1.,0.97,0.008761430768210843,0.04509614615457271
1.,0.96,0.010291754344335463,0.04713729137188354
1.,0.95,0.011587553980836107,0.04926173043824115
1.,0.94,0.012721058466293289,0.05142059678583829
1.,0.9299999999999999,0.013733499412952876,0.05358533649205092
1.,0.92,0.014650479358063073,0.05573849243827861
1.,0.91,0.015489007829176338,0.057869082105782226
1.,0.9,0.01626103431312345,0.05997009553810867
1.,0.89,0.016975355827264865,0.06203705896602968
1.,0.88,0.01763870915267793,0.06406716902815596
1.,0.87,0.018256427888393212,0.06605875051005547
1.,0.86,0.01883285454472325,0.06801090495204928
1.,0.85,0.019371608614486974,0.0699232765627643
1.,0.84,0.019875766694877395,0.07179589263856904
1.,0.83,0.020347987003886736,0.07362905237086141
1.,0.8200000000000001,0.02079059776820713,0.07542324813535659
1.,0.81,0.021205661463560066,0.0771791088951081
1.,0.8,0.021595022546326448,0.078897359019909
1.,0.79,0.0219603436394184,0.08057878799661755
1.,0.78,0.022303133475759518,0.08222422793415343
1.,0.77,0.022624768881908452,0.08383453684271715
1.,0.76,0.02292651231522963,0.08541058602334335
1.,0.75,0.023209526092504262,0.08695325062827851
1.,0.74,0.023474884086354064,0.08846340257509984
1.,0.73,0.023723581456783327,0.08994190522448535
1.,0.72,0.023956542840826267,0.09138960939980971
1.,0.71,0.02417462933498854,0.09280735050083512
1.,0.7,0.024378644472536792,0.09419594633766844
1.,0.69,0.024569339424418413,0.09555619566910488
1.,0.6799999999999999,0.024747417530680327,0.09688887717777903
1.,0.6699999999999999,0.024913538284777603,0.09819474881435802
1.,0.6599999999999999,0.02506832087245736,0.09947454747819011
1.,0.6499999999999999,0.025212347310609673,0.10072898887549993
1.,0.64,0.02534616526044886,0.10195876756834965
1.,0.63,0.025470290566083964,0.10316455719324612
1.,0.62,0.025585209533845188,0.10434701073008472
1.,0.61,0.02569138100776236,0.10550676088697418
1.,0.6,0.025789238254371516,0.10664442053057795
1.,0.59,0.025879190684139075,0.10776058316520815
1.,0.5800000000000001,0.025961625423599366,0.10885582342944143
1.,0.5700000000000001,0.02603690876337783,0.10993069763604633
1.,0.56,0.026105387482160847,0.1109857442925497
1.,0.55,0.026167390074747887,0.11202148466065866
1.,0.54,0.026223227880977973,0.11303842329531828
1.,0.53,0.02627319612928014,0.11403704857778915
1.,0.52,0.026317574909568875,0.1150178332677997
1.,0.51,0.026356630068138265,0.11598123501326144
1.,0.5,0.026390614045160632,0.1169276968751537
0.99,1.,0.002729256721604435,0.03500865507427727
0.99,0.99,0.005855584997525152,0.03630838788841299
0.99,0.98,0.007938251865472487,0.03815836832387083
0.99,0.97,0.00955204992823497,0.04024337551141073
0.99,0.96,0.010901564050645244,0.04243170106033365
0.99,0.95,0.012078705384129055,0.04465870515432412
0.99,0.94,0.013131485668422885,0.04688944367317946
0.99,0.9299999999999999,0.014087906496000632,0.04910382323961957
0.99,0.92,0.014965766712023489,0.05128984278926342
0.99,0.91,0.015777196614891895,0.05344020137577399
0.99,0.9,0.016530951934895476,0.05555046453801684
0.99,0.89,0.017233660394354533,0.05761801339971479
0.99,0.88,0.01789053995959471,0.05964141313129625
0.99,0.87,0.01850583360993932,0.06162001829552949
0.99,0.86,0.019083083924538027,0.06355371804051153
0.99,0.85,0.019625313084865367,0.06544276700164167
0.99,0.84,0.020135144857150615,0.06728767044635711
0.99,0.83,0.020614889771941605,0.06908910471511853
0.99,0.8200000000000001,0.02106660625277969,0.07084786119326504
0.99,0.81,0.02149214559979019,0.07256480630652694
0.99,0.8,0.021893185867196005,0.07424085263324966
0.99,0.79,0.022271257927647784,0.07587693785622018
0.99,0.78,0.022627765924562133,0.07747400932285578
0.99,0.77,0.02296400361475217,0.07903301266787813
0.99,0.76,0.02328116764648601,0.08055488341043358
0.99,0.75,0.02358036851313952,0.08204054074878826
0.99,0.74,0.023862639715443765,0.08349088299058377
0.99,0.73,0.024128945522216717,0.08490678420714526
0.99,0.72,0.02438018761905565,0.08628909180716664
0.99,0.71,0.024617210862971237,0.08763862480182821
0.99,0.7,0.02484080830933791,0.08895617258911984
0.99,0.69,0.0250517256398022,0.09024249412600463
0.99,0.6799999999999999,0.025250665091856195,0.09149831738725998
0.99,0.6699999999999999,0.025438288969870416,0.09272433903235261
0.99,0.6599999999999999,0.025615222801541614,0.09392122421855464
0.99,0.6499999999999999,0.025782058191598088,0.09508960651120356
0.99,0.64,0.025939355415244253,0.0962300878515627
0.99,0.63,0.026087645786529123,0.097343238549937
0.99,0.62,0.026227433831082562,0.09842959727707164
0.99,0.61,0.02635919928811304,0.0994896710308256
0.99,0.6,0.026483398962930595,0.1005239350579652
0.99,0.59,0.026600468448340932,0.10153283271286276
0.99,0.5800000000000001,0.02671082373090401,0.10251677523608246
0.99,0.5700000000000001,0.02681486269614679,0.10347614143639647
0.99,0.56,0.02691296654527813,0.10441127725976616
0.99,0.55,0.02700550113470458,0.10532249522828885
0.99,0.54,0.027092818248645827,0.10621007373108365
0.99,0.53,0.027175256814349187,0.10707425614753976
0.99,0.52,0.027253144068784974,0.10791524978129244
0.99,0.51,0.027326796685235504,0.10873322458062971
0.99,0.5,0.02739652186786443,0.10952831161775446
0.98,1.,0.004507692300362219,0.02951236426275996
0.98,0.99,0.006865790319230843,0.03129673218319731
0.98,0.98,0.008580541343242206,0.0334290486495406
0.98,0.97,0.00998702543711748,0.03569487435591765
0.98,0.96,0.011208931284840122,0.03800456375271574
0.98,0.95,0.012303342425798157,0.04031465210213223
0.98,0.94,0.013300909002148236,0.042602117531721835
0.98,0.9299999999999999,0.014220065205096666,0.04485411836989069
0.98,0.92,0.015072935322189925,0.047063325454556146
0.98,0.91,0.01586808875730602,0.04922558548594003
0.98,0.9,0.016611944800464365,0.05133866209553364
0.98,0.89,0.01730954182908103,0.05340151692779135
0.98,0.88,0.017964984097000595,0.055413879304935736
0.98,0.87,0.018581714615131136,0.05737597847655268
0.98,0.86,0.019162689264246316,0.05928837160116362
0.98,0.85,0.019710492282681742,0.0611518302435177
0.98,0.84,0.020227415591295043,0.0629672638025258
0.98,0.83,0.02071551503876429,0.06473566689909947
0.98,0.8200000000000001,0.021176651459837374,0.06645808268469854
0.98,0.81,0.02161252145858346,0.06813557695032471
0.98,0.8,0.022024681060318217,0.06976921969507181
0.98,0.79,0.022414564295677463,0.07136007192685918
0.98,0.78,0.02278349810297969,0.0729091761813505
0.98,0.77,0.023132714500105022,0.07441754971186691
0.98,0.76,0.023463360691743342,0.07588617961441942
0.98,0.75,0.023776507586854668,0.07731601936324879
0.98,0.74,0.02407315707095127,0.07870798637785904
0.98,0.73,0.02435424828748775,0.08006296034432502
0.98,0.72,0.024620663118982172,0.0813817820857253
0.98,0.71,0.02487323101293201,0.08266525282814638
0.98,0.7,0.025112733264524366,0.08391413374604506
0.98,0.69,0.025339906843793773,0.08512914569794115
0.98,0.6799999999999999,0.025555447836742795,0.08631096908341178
0.98,0.6699999999999999,0.02576001455623291,0.08746024376705949
0.98,0.6599999999999999,0.025954230367983725,0.08857756902599351
0.98,0.6499999999999999,0.026138686268918184,0.08966350348534555
0.98,0.64,0.026313943248757864,0.09071856501216728
0.98,0.63,0.026480534460756728,0.09174323054219902
0.98,0.62,0.026638967223453554,0.09273793581685937
0.98,0.61,0.026789724872076284,0.09370307500961073
0.98,0.6,0.0269332684755741,0.0946390002218014
0.98,0.59,0.027070038433052702,0.09554602082831007
0.98,0.5800000000000001,0.02720045596153873,0.09642440265288385
0.98,0.5700000000000001,0.027324924485422227,0.09727436695202515
0.98,0.56,0.027443830936563912,0.09809608918468053
0.98,0.55,0.027557546972844578,0.09888969754277732
0.98,0.54,0.027666430121843645,0.0996552712148422
0.98,0.53,0.027770824855318278,0.10039283835144766
0.98,0.52,0.02787106359918111,0.1011023736970022
0.98,0.51,0.027967467682708913,0.10178379584732172
0.98,0.5,0.028060348229715967,0.10243696408634449
0.97,1.,0.005537377342589595,0.024502825293376346
0.97,0.99,0.007385123672332505,0.026680865171139597
0.97,0.98,0.00885194314139175,0.02904149721299352
0.97,0.97,0.010119364835826613,0.03145147021404669
0.97,0.96,0.011256964402068907,0.03385594523535797
0.97,0.95,0.012298081408440763,0.03622905818895562
0.97,0.94,0.013261405190105241,0.03855768293512825
0.97,0.9299999999999999,0.014158735589723373,0.04083497925815688
0.97,0.92,0.014998244987365158,0.043057472456973486
0.97,0.91,0.015786015852085077,0.045223598760677976
0.97,0.9,0.01652683287418026,0.04733292565588466
0.97,0.89,0.01722462157066122,0.04938570905383426
0.97,0.88,0.017882706290806683,0.051382629794781746
0.97,0.87,0.01850397012830911,0.053324630831194694
0.97,0.86,0.019090958718799626,0.05521281348533716
0.97,0.85,0.019645950466628717,0.05704836968633212
0.97,0.84,0.0201710058800678,0.05883253682670094
0.97,0.83,0.020668003437978658,0.06056656722948886
0.97,0.8200000000000001,0.021138666490213287,0.062251707273356494
0.97,0.81,0.021584584010033978,0.06388918302810961
0.97,0.8,0.02200722701376829,0.06548019035136665
0.97,0.79,0.022407961847706992,0.06702588808300186
0.97,0.78,0.02278806115487852,0.06852739341268685
0.97,0.77,0.02314871308447996,0.0699857787823646
0.97,0.76,0.02349102914200045,0.07140206987620286
0.97,0.75,0.023816050967210633,0.07277724437972624
0.97,0.74,0.02412475625113865,0.07411223127859756
0.97,0.73,0.02441806395004405,0.07540791052940145
0.97,0.72,0.024696838916670776,0.07666511297842218
0.97,0.71,0.02496189604180693,0.07788462043546795
0.97,0.7,0.025214003979198624,0.07906716583213243
0.97,0.69,0.025453888511967334,0.08021343340996559
0.97,0.6799999999999999,0.02568223560742082,0.0813240588956799
0.97,0.6699999999999999,0.025899694198506074,0.08239962962892304
0.97,0.6599999999999999,0.02610687872341401,0.08344068461414184
0.97,0.6499999999999999,0.02630437144951795,0.08444771447225638
0.97,0.64,0.026492724603547783,0.08542116127068401
0.97,0.63,0.026672462326402215,0.08636141821197228
0.97,0.62,0.026844082468093472,0.08726882916215288
0.97,0.61,0.02700805823585457,0.08814368800004803
0.97,0.6,0.02716483970630402,0.08898623776823639
0.97,0.59,0.027314855210673318,0.08979666960529557
0.97,0.5800000000000001,0.02745851260038297,0.0905751214372886
0.97,0.5700000000000001,0.027596200398642416,0.09132167640426465
0.97,0.56,0.02772828884219961,0.09203636099478696
0.97,0.55,0.02785513081582547,0.09271914285814144
0.97,0.54,0.02797706268053198,0.09336992825983194
0.97,0.53,0.02809440499485544,0.09398855914119733
0.97,0.52,0.02820746312671903,0.09457480973833869
0.97,0.51,0.02831652775136917,0.0951283827089099
0.97,0.5,0.028421875228583884,0.09564890470752649
0.96,1.,0.0059728227041879,0.019985898046860726
0.96,0.99,0.007502522837372094,0.02246608668934143
0.96,0.98,0.008814981866727916,0.024998697757560445
0.96,0.97,0.009997454632897546,0.02751446010654577
0.96,0.96,0.011085342280869517,0.029986029999264977
0.96,0.95,0.012096771264505878,0.03240137467349272
0.96,0.94,0.013042697436097886,0.03475509901138782
0.96,0.9299999999999999,0.013930604369647822,0.037045027467647554
0.96,0.92,0.01476608249513205,0.039270668755823634
0.96,0.91,0.015553585189249928,0.04143245679221166
0.96,0.9,0.016296825035281324,0.0435313469894495
0.96,0.89,0.01699899761255849,0.04556858899577078
0.96,0.88,0.01766291624865651,0.04754559293338302
0.96,0.87,0.018291097872967194,0.04946384788372934
0.96,0.86,0.018885820553871373,0.05132487087939604
0.96,0.85,0.019449163857404094,0.053130174373474864
0.96,0.84,0.01998303834037296,0.05488124524822318
0.96,0.83,0.02048920790427529,0.05657953121541854
0.96,0.8200000000000001,0.02096930729045764,0.05822643205058924
0.96,0.81,0.021424856158405187,0.05982329404008895
0.96,0.8,0.02185727068653326,0.06137140658868928
0.96,0.79,0.022267873324685564,0.0628720002898204
0.96,0.78,0.022657901130889568,0.0643262459867831
0.96,0.77,0.023028512997096913,0.0657352545006171
0.96,0.76,0.023380795983623665,0.06710007679813842
0.96,0.75,0.023715770924219993,0.06842170443967352
0.96,0.74,0.024034397423592643,0.06970107019117844
0.96,0.73,0.02433757834082031,0.07093904871673168
0.96,0.72,0.024626163831616116,0.07213645728926975
0.96,0.71,0.024900955007324217,0.07329405647282705
0.96,0.7,0.025162707257250387,0.07441255074041167
0.96,0.69,0.025412133272308478,0.07549258899929297
0.96,0.6799999999999999,0.025649905801261058,0.07653476500079341
0.96,0.6699999999999999,0.025876660165517075,0.07753961761528716
0.96,0.6599999999999999,0.02609299655415334,0.07850763095544026
0.96,0.6499999999999999,0.02629948211727548,0.07943923433206386
0.96,0.64,0.02649665287284345,0.08033480202752132
0.96,0.63,0.026685015439501143,0.08119465287155436
0.96,0.62,0.026865048605664528,0.08201904960377927
0.96,0.61,0.027037204743045988,0.08280819800600059
0.96,0.6,0.02720191107085347,0.08356224578593184
0.96,0.59,0.027359570775043196,0.0842812811919155
0.96,0.5800000000000001,0.02751056398516404,0.08496533133577673
0.96,0.5700000000000001,0.027655248609462866,0.08561436019800826
0.96,0.56,0.027793961026968593,0.08622826628602254
0.96,0.55,0.027927016633186526,0.08680687991216536
0.96,0.54,0.028054710233754176,0.08734996005348455
0.96,0.53,0.02817731627786324,0.08785719074977989
0.96,0.52,0.02829508892037884,0.0883281769901569
0.96,0.51,0.028408261898266427,0.08876244003093536
0.96,0.5,0.02851704820309566,0.08915941207927124
0.95,1.,0.005944877486300823,0.015975348109330424
0.95,0.99,0.0072985433484582364,0.01865960430049768
0.95,0.98,0.008527435403901227,0.021304032655200863
0.95,0.97,0.009666316989453944,0.02388506792888128
0.95,0.96,0.010731076220823177,0.026394773118091193
0.95,0.95,0.01173101101437825,0.028830777779844254
0.95,0.94,0.012672537633391592,0.031193045890518845
0.95,0.9299999999999999,0.01356058569431279,0.0334826173184071
0.95,0.92,0.014399210101227583,0.0357010491203002
0.95,0.91,0.015191892967424786,0.0378501430184585
0.95,0.9,0.015941707604686935,0.03993180296833725
0.95,0.89,0.01665141523656922,0.04194795689597585
0.95,0.88,0.017323526321304013,0.04390051220186653
0.95,0.87,0.017960342015424343,0.04579132997806447
0.95,0.86,0.018563983839577393,0.04762221003668873
0.95,0.85,0.019136415964359436,0.049394882393803644
0.95,0.84,0.019679462654987007,0.051111002705562986
0.95,0.83,0.02019482239709033,0.05277215016623074
0.95,0.8200000000000001,0.02068407965244182,0.054379826953136416
0.95,0.81,0.02114871485761383,0.055935458641845695
0.95,0.8,0.02159011307517058,0.05744039521960817
0.95,0.79,0.022009571579944348,0.0588959124523926
0.95,0.78,0.022408306581256428,0.060303213441714965
0.95,0.77,0.022787459227966197,0.06166343025990215
0.95,0.76,0.023148101006626638,0.06297762558700926
0.95,0.75,0.023491238617564025,0.06424679429571256
0.95,0.74,0.023817818395543193,0.06547186494607747
0.95,0.73,0.024128730328419987,0.06665370116267957
0.95,0.72,0.024424811717259867,0.06779310287372119
0.95,0.71,0.024706850513799263,0.06889080739659657
0.95,0.7,0.024975588365162345,0.06994749035750782
0.95,0.69,0.025231723390953156,0.07096376643467726
0.95,0.6799999999999999,0.025475912713909577,0.07194018991578768
0.95,0.6699999999999999,0.025708774761989812,0.07287725506068227
0.95,0.6599999999999999,0.025930891356900205,0.07377539626022678
0.95,0.6499999999999999,0.026142809601558688,0.07463498798171399
0.95,0.64,0.026345043576699444,0.0754563444902678
0.95,0.63,0.026538075854709974,0.07623971933447776
0.95,0.62,0.02672235883677619,0.07698530458294936
0.95,0.61,0.026898315917447863,0.07769322979661142
0.95,0.6,0.027066342478771755,0.07836356071945617
0.95,0.59,0.02722680671412959,0.07899629766789226
0.95,0.5800000000000001,0.027380050279814352,0.07959137359602826
0.95,0.5700000000000001,0.027526388770128155,0.08014865181093203
0.95,0.56,0.027666112009341548,0.08066792330819303
0.95,0.55,0.0277994841511404,0.08114890369385241
0.95,0.54,0.027926743573155777,0.08159122965394501
0.95,0.53,0.02804810255071068,0.08199445492734922
0.95,0.52,0.028163746689956744,0.08235804573133824
0.95,0.51,0.028273834095976356,0.08268137558199541
0.95,0.5,0.028378494246049685,0.08296371944334985
0.94,1.,0.005574104246786122,0.01248836165151676
0.94,0.99,0.006849084612784749,0.015268782919989161
0.94,0.98,0.008043879192499891,0.01796040855935008
0.94,0.97,0.009168421178720666,0.020563943746974483
0.94,0.96,0.010229011464611899,0.023081585241409144
0.94,0.95,0.01123049803409932,0.025515956035965095
0.94,0.94,0.012176969734975285,0.027869772948268985
0.94,0.9299999999999999,0.01307203328654115,0.030145722603005284
0.94,0.92,0.013918944681288894,0.032346410333279445
0.94,0.91,0.014720681115050368,0.03447433848094972
0.94,0.9,0.015479985478397946,0.03653189780660217
0.94,0.89,0.01619939682656493,0.03852136517533039
0.94,0.88,0.01688127300638635,0.04044490438583233
0.94,0.87,0.017527808519559856,0.04230456860227373
0.94,0.86,0.018141049266316562,0.044102303587165596
0.94,0.85,0.01872290510367869,0.04583995129867434
0.94,0.84,0.01927516078072967,0.047519253606049854
0.94,0.83,0.019799485608526148,0.04914185598048983
0.94,0.8200000000000001,0.020297442104128153,0.05070931107739446
0.94,0.81,0.020770493777020754,0.052223082160158765
0.94,0.8,0.021220012181474936,0.053684546336095075
0.94,0.79,0.021647283329154488,0.05509499758754717
0.94,0.78,0.022053513536370396,0.056455649588881614
0.94,0.77,0.022439834766318306,0.057767638304724776
0.94,0.76,0.022807309516322455,0.05903202436763044
0.94,0.75,0.023156935292266236,0.060249795234932145
0.94,0.74,0.023489648706242247,0.06142186712531477
0.94,0.73,0.023806329228478338,0.06254908673584438
0.94,0.72,0.024107802620471373,0.06363223274003087
0.94,0.71,0.024394844072738814,0.06467201706701531
0.94,0.7,0.024668181067543076,0.06566908596129196
0.94,0.69,0.024928495984227944,0.06662402082150871
0.94,0.6799999999999999,0.025176428462343477,0.06753733881585276
0.94,0.6699999999999999,0.025412577535476794,0.06840949327038236
0.94,0.6599999999999999,0.025637503546574597,0.06924087382534948
0.94,0.6499999999999999,0.02585172985351263,0.07003180635312045
0.94,0.64,0.026055744331695118,0.07078255262972526
0.94,0.63,0.026250000678503877,0.07149330975030281
0.94,0.62,0.02643491952244806,0.07216420927680392
0.94,0.61,0.026610889337836605,0.07279531610418905
0.94,0.6,0.026778267163676518,0.07338662702901569
0.94,0.59,0.026937379123253433,0.07393806900172638
0.94,0.5800000000000001,0.02708852073842257,0.07444949704106625
0.94,0.5700000000000001,0.02723195702998427,0.0749206917858599
0.94,0.56,0.02736792239257732,0.07535135665580776
0.94,0.55,0.027496620229224278,0.07574111458896392
0.94,0.54,0.027618222326930446,0.0760895043190843
0.94,0.53,0.027732867950473198,0.07639597615101017
0.94,0.52,0.0278406626266118,0.0766598871866112
0.94,0.51,0.02794167658525539,0.07688049594744722
0.94,0.5,0.028035942817501495,0.07705695633316617
0.9299999999999999,1.,0.004978085777224293,0.009540959969013468
0.9299999999999999,0.99,0.006227455175389075,0.01229939329441098
0.9299999999999999,0.98,0.0074165461972797095,0.014969418904724939
0.9299999999999999,0.97,0.008544145112814858,0.017550701687594403
0.9299999999999999,0.96,0.00961212279488493,0.020045050444874483
0.9299999999999999,0.95,0.010623242281115521,0.022454924403077416
0.9299999999999999,0.94,0.011580498933061024,0.02478296886084025
0.9299999999999999,0.9299999999999999,0.012486882300136982,0.027031841268489766
0.9299999999999999,0.92,0.01334528183944115,0.02920413843166263
0.9299999999999999,0.91,0.014158449269108059,0.031302364379453634
0.9299999999999999,0.9,0.014928985512564094,0.03332891636886998
0.9299999999999999,0.89,0.015659339020986835,0.03528607960740924
0.9299999999999999,0.88,0.016351809527452167,0.03717602638809126
0.9299999999999999,0.87,0.01700855437159735,0.03900081752311926
0.9299999999999999,0.86,0.01763159594771038,0.04076240497683609
0.9299999999999999,0.85,0.018222829518676962,0.04246263509892079
0.9299999999999999,0.84,0.018784030991803605,0.04410325211892171
0.9299999999999999,0.83,0.019316864441375956,0.04568590170473706
0.9299999999999999,0.8200000000000001,0.019822889266919257,0.04721213446763954
0.9299999999999999,0.81,0.020303566934846702,0.04868340934310816
0.9299999999999999,0.8,0.020760267284744238,0.0501010968046907
0.9299999999999999,0.79,0.02119427440075,0.051466481885216055
0.9299999999999999,0.78,0.021606792059304887,0.05278076699026399
0.9299999999999999,0.77,0.02199894877036647,0.05404507449537336
0.9299999999999999,0.76,0.02237180243198474,0.05526044912254335
0.9299999999999999,0.75,0.022726344619095906,0.056427860094006146
0.9299999999999999,0.74,0.0230635045272244,0.057548203062596726
0.9299999999999999,0.73,0.023384152590930393,0.05862230181866198
0.9299999999999999,0.72,0.02368910379557727,0.059650909773569426
0.9299999999999999,0.71,0.023979120699475744,0.06063471121960296
0.9299999999999999,0.7,0.024254916181811678,0.06157432236551725
0.9299999999999999,0.69,0.024517155930027557,0.06247029214627302
0.9299999999999999,0.6799999999999999,0.02476646067854927,0.06332310280456774
0.9299999999999999,0.6699999999999999,0.025003408208938756,0.06413317024070835
0.9299999999999999,0.6599999999999999,0.025228535119718808,0.06490084412617607
0.9299999999999999,0.6499999999999999,0.02544233837224803,0.06562640777489757
0.9299999999999999,0.64,0.025645276617114902,0.06631007776477572
0.9299999999999999,0.63,0.02583777130354585,0.06695200330042372
0.9299999999999999,0.62,0.02602020757226537,0.06755226530629636
0.9299999999999999,0.61,0.026192934930075965,0.06811087523749403
0.9299999999999999,0.6,0.02635626770210932,0.06862777359342336
0.9299999999999999,0.59,0.02651048525520063,0.06910282811720968
0.9299999999999999,0.5800000000000001,0.026655831983107947,0.06953583166124801
0.9299999999999999,0.5700000000000001,0.026792517041286865,0.06992649969652966
0.9299999999999999,0.56,0.02692071381557855,0.07027446744037026
0.9299999999999999,0.55,0.027040559105401724,0.07057928657385712
