p11,p22,I1,I2
0.725,0.55,0,0
0.725,0.525,0,0
0.725,0.5,0,0
0.7,1,0.0105779678234115,0.00428825773747686
0.7,0.975,0,0
0.7,0.95,0,0
0.7,0.925,0,0
0.7,0.9,0,0
0.7,0.875,0,0
0.7,0.85,0,0
0.7,0.825,0,0
0.7,0.8,0,0
0.7,0.775,0,0
0.7,0.75,0,0
0.7,0.725,0,0
0.7,0.7,0,0
0.7,0.675,0,0
0.7,0.65,0,0
0.7,0.625,0,0
0.7,0.6,0,0
0.7,0.575,0,0
0.7,0.55,0,0
0.7,0.525,0,0
0.7,0.5,0,0
0.675,1,0.0187342411351097,0.00753272600468425
0.675,0.975,0,0
0.675,0.95,0,0
0.675,0.925,0,0
0.675,0.9,0,0
0.675,0.875,0,0
0.675,0.85,0,0
0.675,0.825,0,0
0.675,0.8,0,0
0.675,0.775,0,0
0.675,0.75,0,0
0.675,0.725,0,0
0.675,0.7,0,0
0.675,0.675,0,0
0.675,0.65,0,0
0.675,0.625,0,0
0.675,0.6,0,0
0.675,0.575,0,0
0.675,0.55,0,0
0.675,0.525,0,0
0.675,0.5,0,0
0.65,1,0.0267464755905729,0.0106713052180853
0.65,0.975,0,0
0.65,0.95,0,0
0.65,0.925,0,0
0.65,0.9,0,0
0.65,0.875,0,0
0.65,0.85,0,0
0.65,0.825,0,0
0.65,0.8,0,0
0.65,0.775,0,0
0.65,0.75,0,0
0.65,0.725,0,0
0.65,0.7,0,0
0.65,0.675,0,0
0.65,0.65,0,0
0.65,0.625,0,0
0.65,0.6,0,0
0.65,0.575,0,0
0.65,0.55,0,0
0.65,0.525,0,0
0.65,0.5,0,0
0.625,1,0.0346156946325565,0.0137093557373697
0.625,0.975,0,0
0.625,0.95,0,0
0.625,0.925,0,0
0.625,0.9,0,0
0.625,0.875,0,0
0.625,0.85,0,0
0.625,0.825,0,0
0.625,0.8,0,0
0.625,0.775,0,0
0.625,0.75,0,0
0.625,0.725,0,0
0.625,0.7,0,0
0.625,0.675,0,0
0.625,0.65,0,0
0.625,0.625,0,0
0.625,0.6,0,0
0.625,0.575,0,0
0.625,0.55,0,0
0.625,0.525,0,0
0.625,0.5,0,0
0.6,1,0.0423433793330229,0.0166514505534326
0.6,0.975,0,0
0.6,0.95,0,0
0.6,0.925,0,0
0.6,0.9,0,0
0.6,0.875,0,0
0.6,0.85,0,0
0.6,0.825,0,0
0.6,0.8,0,0
0.6,0.775,0,0
0.6,0.75,0,0
0.6,0.725,0,0
0.6,0.7,0,0
0.6,0.675,0,0
0.6,0.65,0,0
0.6,0.625,0,0
0.6,0.6,0,0
0.6,0.575,0,0
0.6,0.55,0,0
0.6,0.525,0,0
0.6,0.5,0,0
0.575,1,0.0499313150360497,0.0195016081062763
0.575,0.975,0,0
0.575,0.95,0,0
0.575,0.925,0,0
0.575,0.9,0,0
0.575,0.875,0,0
0.575,0.85,0,0
0.575,0.825,0,0
0.575,0.8,0,0
0.575,0.775,0,0
0.575,0.75,0,0
0.575,0.725,0,0
0.575,0.7,0,0
0.575,0.675,0,0
0.575,0.65,0,0
0.575,0.625,0,0
0.575,0.6,0,0
0.575,0.575,0,0
0.575,0.55,0,0
0.575,0.525,0,0
0.575,0.5,0,0
0.55,1,0.0573814932736143,0.0222634400242498
0.55,0.975,0,0
0.55,0.95,0,0
0.55,0.925,0,0
0.55,0.9,0,0
0.55,0.875,0,0
0.55,0.85,0,0
0.55,0.825,0,0
0.55,0.8,0,0
0.55,0.775,0,0
0.55,0.75,0,0
0.55,0.725,0,0
0.55,0.7,0,0
0.55,0.675,0,0
0.55,0.65,0,0
0.55,0.625,0,0
0.55,0.6,0,0
0.55,0.575,0,0
0.55,0.55,0,0
0.55,0.525,0,0
0.55,0.5,0,0
0.525,1,0.0646960467809729,0.0249402482592609
0.525,0.975,0.00143851811179735,0.000754473320989758
0.525,0.95,0,0
0.525,0.925,0,0
0.525,0.9,0,0
0.525,0.875,0,0
0.525,0.85,0,0
0.525,0.825,0,0
0.525,0.8,0,0
0.525,0.775,0,0
0.525,0.75,0,0
0.525,0.725,0,0
0.525,0.7,0,0
0.525,0.675,0,0
0.525,0.65,0,0
0.525,0.625,0,0
0.525,0.6,0,0
0.525,0.575,0,0
0.525,0.55,0,0
0.525,0.525,0,0
0.525,0.5,0,0
0.5,1,0.0718772049238076,0.0275350909263396
0.5,0.975,0.00586073922810637,0.00305213665809657
0.5,0.95,0,0
0.5,0.925,0,0
0.5,0.9,0,0
0.5,0.875,0,0
0.5,0.85,0,0
0.5,0.825,0,0
0.5,0.8,0,0
0.5,0.775,0,0
0.5,0.75,0,0
0.5,0.725,0,0
0.5,0.7,0,0
0.5,0.675,0,0
0.5,0.65,0,0
0.5,0.625,0,0
0.5,0.6,0,0
0.5,0.575,0,0
0.5,0.55,0,0
0.5,0.525,0,0
0.5,0.5,0,0
