t,x2
0,0.048
1,0.0592041086494441
2,0.0688800407904696
3,0.077258336844645
4,0.0845328312604772
5,0.0908669925065238
6,0.0963990511963677
7,0.101246092067292
8,0.105507529624539
9,0.109267919921204
10,0.112599272249225
11,0.115562997208109
12,0.118211514906306
13,0.120589619359855
14,0.122735635647856
15,0.124682314645396
16,0.126457694120502
17,0.12808585908098
18,0.129587442436334
19,0.130980064167165
20,0.132278870701156
21,0.133496882199808
22,0.134645246241949
23,0.135733510067301
24,0.136769866491332
25,0.137761397922944
26,0.138714091577735
27,0.139633176987467
28,0.140523077668122
29,0.141387603174466
30,0.1422300472389
31,0.143053187001897
32,0.143859444904611
33,0.14465087467027
34,0.145429233636227
35,0.146196045190261
36,0.146952587333487
37,0.147699972643476
38,0.148439142857396
39,0.149170899196719
40,0.149895934841776
41,0.150614827547254
42,0.15132807813507
43,0.152036107402713
44,0.152739270857723
45,0.153437873477068
46,0.154132166799377
47,0.15482236751892
48,0.155508649236726
49,0.156191166324959
50,0.156870037349034
51,0.157545368486428
52,0.158217238700313
53,0.158885718102031
54,0.159550857328661
55,0.160212698926653
56,0.160871274004716
57,0.161526605868775
58,0.162178711202171
59,0.162827599490343
60,0.163473276819366
61,0.164115742898186
62,0.164754996557849
63,0.165391032242601
64,0.166023840476569
65,0.166653412101201
66,0.167279735662138
67,0.167902797991019
68,0.168522586229939
69,0.169139085725674
70,0.169752281681522
71,0.170362158997184
72,0.170968701802872
73,0.171571894873259
74,0.172171722728282
75,0.172768169842906
76,0.173361221531539
77,0.173950862787824
78,0.174537079227156
79,0.175119856905759
80,0.1756991816961
81,0.176275041041002
82,0.17684742208897
83,0.177416312610388
84,0.177981701881104
85,0.178543578257409
86,0.179101931252214
87,0.179656751998184
88,0.180208030535514
89,0.18075575831771
90,0.181299928238586
91,0.181840532104839
92,0.182377563380714
93,0.182911016697759
94,0.183440885669362
95,0.183967164275619
96,0.184489849227546
97,0.18500893811358
98,0.185524428522155
99,0.186036318041706
100,0.186544604260669
101,0.187049284767479
102,0.187550357077342
103,0.188047820460041
104,0.188541676990634
105,0.189031928900133
106,0.189518578419553
107,0.190001627779907
108,0.19048107921221
109,0.19095693493331
110,0.191429196973893
111,0.191897870125207
112,0.192362960220804
113,0.192824473094235
114,0.19328241457905
115,0.193736790508802
116,0.194187606717039
117,0.194634868991451
118,0.195078584551326
119,0.19551876246884
120,0.195955411888568
121,0.196388541955086
122,0.19681816181297
123,0.197244280606796
124,0.197666907459103
125,0.198086051406652
126,0.198501723524008
127,0.198913935505265
128,0.199322699044515
129,0.19972802583585
130,0.200129927573363
131,0.200528415951147
132,0.200923502838203
133,0.201315201447527
134,0.201703525601499
135,0.202088489124674
136,0.20247010584161
137,0.202848389576863
138,0.203223354252023
139,0.2035950149281
140,0.203963387405475
141,0.204328487496976
142,0.20469033101543
143,0.205048933773666
144,0.205404311410772
145,0.205756479494931
146,0.206105454681359
147,0.20645125370933
148,0.206793893318115
149,0.207133390246989
150,0.207469761169553
151,0.207803022830554
152,0.208133192653182
153,0.208460288120633
154,0.208784326716103
155,0.209105325922788
156,0.209423303295353
157,0.209738277195744
158,0.210050266365074
159,0.210359289530164
160,0.210665365417835
161,0.210968512754908
162,0.211268750366809
163,0.211566097957984
164,0.211860574953454
165,0.212152199029368
166,0.212440988173727
167,0.212726961652824
168,0.21301013863759
169,0.213290538461102
170,0.213568180424375
171,0.213843083829729
172,0.214115267974293
173,0.214384752242857
174,0.214651556054546
175,0.214915698826075
176,0.215177200055543
177,0.215436079209848
178,0.215692355798494
179,0.215946049328585
180,0.216197179308759
181,0.216445765258122
182,0.216691826688351
183,0.216935383107488
184,0.217176454015937
185,0.217415058890324
186,0.217651217204557
187,0.217884948389638
188,0.218116271878867
189,0.218345207046726
190,0.218571773266568
191,0.218795989845148
192,0.219017876087251
193,0.219237451216735
194,0.219454734456047
195,0.219669744934702
196,0.219882501763388
197,0.220093023902221
198,0.220301330398385
199,0.220507440311114
200,0.220711372537989
201,0.220913145684356
202,0.221112778571732
203,0.221310290029826
204,0.221505698609177
205,0.221699022661665
206,0.221890280754816
207,0.222079491450224
208,0.222266672903348
209,0.22245184322856
210,0.222635020708837
211,0.222816223570484
212,0.222995469212483
213,0.223172775382642
214,0.223348160062577
215,0.223521641233904
216,0.223693236878239
217,0.223862964977197
218,0.224030843479384
219,0.22419688865158
220,0.224361117022271
221,0.224523545898016
222,0.224684192585378
223,0.224843074390916
224,0.225000208621191
225,0.225155612582664
226,0.225309302103617
227,0.225461292563035
228,0.225611600524854
229,0.225760242553011
230,0.225907235211443
231,0.226052595064085
232,0.226196338674875
233,0.226338481591669
234,0.226479038219457
235,0.226618024371952
236,0.226755455890335
237,0.226891348615786
238,0.227025718389488
239,0.227158581052619
240,0.227289952207678
241,0.227419846365687
242,0.227548278025011
243,0.227675261708716
244,0.227800811939867
245,0.227924943241527
246,0.228047670136762
247,0.228169007148637
248,0.228288968883927
249,0.228407569860525
250,0.228524823752985
251,0.228640744162659
252,0.228755344690898
253,0.228868638939056
254,0.228980640508483
255,0.229091363000534
256,0.229200820044315
257,0.229309025161337
258,0.229415991232463
259,0.229521731058291
260,0.229626257439419
261,0.229729583176446
262,0.229831721069971
263,0.229932683920593
264,0.230032484530826
265,0.23013113548866
266,0.230228648857054
267,0.230325036631054
268,0.230420310805704
269,0.23051448337605
270,0.230607566337138
271,0.230699571684012
272,0.230790511407527
273,0.230880397148229
274,0.230969240007707
275,0.231057051050687
276,0.231143841341898
277,0.231229621946065
278,0.231314403927916
