"t","x1"
0,0.0572
1,0.06619180336741864
2,0.07403652078147739
3,0.08087554431221232
4,0.08683200051347664
5,0.09201323602856284
6,0.09651307337262585
7,0.10041358337525616
8,0.1037866741719108
9,0.10669534967371251
10,0.1091950380657795
11,0.11133438050303258
12,0.11315616850280157
13,0.1146980784752697
14,0.11599330025326544
15,0.11707108890568166
16,0.11795724493993177
17,0.11867457187686062
18,0.11924303876804423
19,0.11968046099571573
20,0.12000250651757914
21,0.1202229389265561
22,0.1203540846285114
23,0.1204066546784696
24,0.12039024778481021
25,0.1203133014418265
26,0.12018324432502782
27,0.12000672684044368
28,0.11978953390812766
29,0.11953686016799236
30,0.11925322149092842
31,0.11894269495626501
32,0.11860880377119298
33,0.11825473381856706
34,0.11788323696464223
35,0.11749680108858478
36,0.11709757415789497
37,0.11668749742046611
38,0.11626824652633394
39,0.11584133459890007
40,0.11540806633808344
41,0.11496961932975223
42,0.1145270082292152
43,0.1140811484582228
44,0.11363282362486626
45,0.1131827478532858
46,0.1127315235641418
47,0.11227970469685424
48,0.11182775372598816
49,0.1113760976691264
50,0.1109250906464671
51,0.11047505919444826
52,0.11002627356094156
53,0.10957898104480117
54,0.10913338667291186
55,0.10868967546099999
56,0.10824800158996212
57,0.10780850198379793
58,0.10737129117787199
59,0.10693646421607454
60,0.10650410936507927
61,0.1060742920358246
62,0.10564707212748828
63,0.10522249819047635
64,0.10480060602565174
65,0.1043814291449646
66,0.10396498883402906
67,0.10355130181534258
68,0.103140381227968
69,0.10273223197845037
70,0.10232685782545897
71,0.10192425757411788
72,0.10152442612307495
73,0.10112735751763448
74,0.10073304129593456
75,0.1003414656434437
76,0.09995261836648649
77,0.0995664838177532
78,0.09918304454622517
79,0.09880228331932146
80,0.09842418198702191
81,0.09804872049864774
82,0.09767587892167724
83,0.09730563699806073
84,0.09693797321193086
85,0.09657286608961399
86,0.09621029398722596
87,0.09585023448971076
88,0.09549266523822283
89,0.09513756408516166
90,0.09478490848183252
91,0.09443467586442639
92,0.09408684390346504
93,0.09374139021212997
94,0.0933982923665099
95,0.09305752814223915
96,0.0927190753426527
97,0.09238291169758622
98,0.0920490153409346
99,0.09171736482945884
100,0.09138793837874867
101,0.09106071440921767
102,0.09073567204200081
103,0.09041279021513604
104,0.09009204835848164
105,0.08977342583640952
106,0.08945690240930622
107,0.08914245790801584
108,0.08883007241622565
109,0.08851972630524521
110,0.08821140025730954
111,0.08790507575031277
112,0.08760073352605473
113,0.08729835429962578
114,0.08699791878611628
115,0.08669940807655493
116,0.08640280564005898
117,0.0861080936580725
118,0.08581525395440165
119,0.0855242683528526
120,0.08523511872536663
121,0.084947789067988
122,0.08466226316863838
123,0.08437852394214451
124,0.08409655430333313
125,0.08381633716703098
126,0.08353785665318511
127,0.0832610982588269
128,0.08298604600376577
129,0.08271268388396454
130,0.08244099589538594
131,0.08217096610300276
132,0.08190257960665084
133,0.08163582229478168
134,0.08137068007491008
135,0.08110713885455081
136,0.08084518454121871
137,0.08058480304242857
138,0.0803259802656952
139,0.0800687021185334
140,0.07981295436999913
141,0.07955872236434794
142,0.07930599315020943
143,0.07905475407271301
144,0.07880499247698801
145,0.07855669570816384
146,0.07830985111136986
147,0.07806444603173544
148,0.07782046781438995
149,0.07757790377370917
150,0.07733674121467965
151,0.07709696856160574
152,0.07685857447430954
153,0.07662154761261314
154,0.07638587663633867
155,0.07615155020530821
156,0.07591855697934388
157,0.07568688561826778
158,0.07545652476064325
159,0.07522746257997354
