"p11","p12","I1","I2"
1.,1.,0.,0.0355783948467404
1.,0.975,0.006836508676654307,0.03870603568360218
1.,0.95,0.010250870368177983,0.043851191202640735
1.,0.925,0.012739439652739937,0.04927602710991163
1.,0.9,0.014742541198732806,0.05460574444927789
1.,0.875,0.01641417953277466,0.059727070317680736
1.,0.85,0.017831513625741174,0.06460533963428343
1.,0.825,0.019042501427625896,0.06923498119811147
1.,0.8,0.020081025371539607,0.07362234369649319
1.,0.775,0.02097290295699028,0.07777875703113604
1.,0.75,0.021738720265429057,0.08171743967389927
1.,0.725,0.022395363618692543,0.08545203575100703
1.,0.7,0.02295694366213341,0.08899590514513023
1.,0.675,0.02343540315743403,0.09236178408574476
1.,0.6499999999999999,0.02384094402681547,0.09556163614824795
1.,0.625,0.02418234257335472,0.09860660358359126
1.,0.6,0.024467190841496234,0.10150701197385685
1.,0.575,0.024702086474981344,0.10427240259829282
1.,0.55,0.024892785138411644,0.10691157845308119
1.,0.5249999999999999,0.025044324773133675,0.10943265590800752
1.,0.5,0.02516112811746496,0.11184311754931478
0.975,1.,0.004005654409554136,0.021428519215352666
0.975,0.975,0.007793683614324852,0.026855874023674887
0.975,0.95,0.010517563919060204,0.03276426914029593
0.975,0.925,0.012779857759139961,0.0384821470770026
0.975,0.9,0.014716377705535622,0.04388672960555038
0.975,0.875,0.016392087095189422,0.04895672172046949
0.975,0.85,0.017849944830546773,0.05369886960848803
0.975,0.825,0.019122521009479868,0.05812867268266523
0.975,0.8,0.02023605579698225,0.06226394666667588
0.975,0.775,0.021212336272048906,0.066122366961418
0.975,0.75,0.022069763070488146,0.0697204684046516
0.975,0.725,0.022824048900441454,0.07307323732913014
0.975,0.7,0.023488719696245428,0.07619395812784223
0.975,0.675,0.02407549526162231,0.07909416817457195
0.975,0.6499999999999999,0.02459458887312988,0.0817836521946325
0.975,0.625,0.02505494849606685,0.08427044057951243
0.975,0.6,0.025464453785793865,0.08656079101720014
0.975,0.575,0.02583007827086324,0.08865913907667097
0.975,0.55,0.026158023092742542,0.09056800512638684
0.975,0.5249999999999999,0.026453826493216634,0.09228784383476096
0.975,0.5,0.026722451383949016,0.0938168189816229
0.95,1.,0.0038480316888142145,0.01039523799815528
0.95,0.975,0.006853341026989544,0.017059798179353318
0.95,0.95,0.00946387106505361,0.023316925948715747
0.95,0.925,0.011739892975176127,0.029112554562865895
0.95,0.9,0.013728469521433837,0.03446708383423559
0.95,0.875,0.015469429919970133,0.03941024569646883
0.95,0.85,0.016996597985620903,0.04397142079434514
0.95,0.825,0.018338744667710932,0.04817747831630382
0.95,0.8,0.01952039700972783,0.05205230108825298
0.95,0.775,0.02056251523989849,0.05561678288911194
0.95,0.75,0.02148305356208065,0.058888962398840825
0.95,0.725,0.022297422015087665,0.061884182678471934
0.95,0.7,0.023018865283741335,0.0646152345658171
0.95,0.675,0.02365877176944476,0.06709246657947418
0.95,0.6499999999999999,0.024226923500208615,0.06932385267880958
0.95,0.625,0.024731694859393836,0.07131501193852524
0.95,0.6,0.025180205647909275,0.07306917414489016
0.95,0.575,0.025578431554919887,0.07458708368142732
0.95,0.55,0.02593127250928793,0.07586683118371418
0.95,0.5249999999999999,0.02624257634663623,0.07690359823593962
0.95,0.5,0.026515111359284436,0.07768929450699974
0.925,1.,0.0015426241338904276,0.002746749310027871
0.925,0.975,0.004799606306091444,0.009359232188997802
0.925,0.95,0.007579046788809122,0.015498232752101517
