"t","x1","x2","y1","y2"
0,0.02,0.015,0.04,0.03
1,0.03215362445246088,0.017070359836316135,0.038747202768651796,0.029340156814071733
2,0.04289164830973262,0.018943401366104857,0.037666992854793906,0.028744799809897525
3,0.05239531817956758,0.020638866597421972,0.03673863491855041,0.028207724953233978
4,0.060821344723113305,0.02217446785013897,0.03594391423283699,0.02772333966246133
5,0.06830543945640394,0.023566097615609436,0.03526683141343053,0.027286603800822797
6,0.0749654608090245,0.024828032070834203,0.03469331674557521,0.026892971379823955
7,0.08090387160892484,0.025973097915498445,0.03421099871900769,0.026538342293116326
8,0.08620990402739173,0.027012825394254314,0.03380899445408058,0.026219017690540226
9,0.09096129309913398,0.027957575386198398,0.03347773740021157,0.025931662674853577
10,0.09522604967958676,0.028816684052803965,0.03320879178380964,0.025673262925220923
11,0.09906355158809356,0.02959854950155228,0.032994737879086175,0.02544109886200659
12,0.10252575796985607,0.030310733850266933,0.03282904162880715,0.025232714852929158
13,0.1056581650605548,0.030960048590621063,0.032705948576269794,0.025045893209952003
14,0.10850064292979254,0.03155263222289797,0.032620389390237925,0.024878630373510978
15,0.11108815847456369,0.032094018767147174,0.03256789705913075,0.024729115801172583
16,0.11345140668050487,0.03258920043261352,0.03254453338962552,0.024595712520553994
17,0.1156173135025295,0.03304267737148588,0.0325468301205301,0.024476941689426802
18,0.11760952326024329,0.03345851085628461,0.03257173007487626,0.02437146585734545
19,0.11944875233521746,0.033840356654314487,0.03261654582027964,0.0242780786615805
20,0.12115339400470863,0.03419154307669205,0.0326788838955445,0.024195679766641557
21,0.12273934974992097,0.0345150357897636,0.03275666804196565,0.024123286595276072
22,0.12422082819966465,0.03481354731488706,0.032848038291617705,0.024059998955416044
23,0.12561019852046654,0.03508950949480653,0.032951370296078225,0.024005008144775835
24,0.12691834348926526,0.03534511925314906,0.03306523096495654,0.023957582235379662
25,0.1281549271931271,0.035582377662457865,0.03318834420735621,0.02391705337679425
26,0.12932831254406857,0.0358030701388571,0.033319602140587386,0.023882824423441498
27,0.1304459772054183,0.03600883137748213,0.033458011560672664,0.02385434772509279
28,0.13151443831151763,0.03620112916711034,0.03360270389647608,0.023831130506872005
29,0.13253941532333807,0.03638128771412855,0.03375291436335403,0.023812727293086016
30,0.13352598540063643,0.036550514302560816,0.033907961730583705,0.02379873114154044
31,0.13447857395944446,0.0367098921851387,0.03406724991724852,0.023788776083556996
32,0.1354011034487213,0.036860408127439265,0.03423024848580211,0.02378252802849454
33,0.13629699744207868,0.037002949002021716,0.03439649232626885,0.023779685955793533
34,0.13716928618025861,0.03713832216060717,0.03456556781404158,0.023779975175735955
35,0.13802061663573975,0.037267253984297276,0.03473711164767285,0.023783147858751966
36,0.13885332797935473,0.037390405262344564,0.03491080092499123,0.023788977936443873
37,0.1396694653929259,0.03750837111306025,0.03508635143970701,0.023797261164470354
38,0.14047083409849395,0.03762169257328925,0.03526351056689892,0.023807811273081826
39,0.14125901231245805,0.03773085728642417,0.035442055632915484,0.0238204597627917
40,0.14203539036903073,0.03783630821783033,0.03562178875765873,0.023835053005710333
41,0.14280118469727007,0.037938444985516524,0.03580253507113917,0.0238514518210622
42,0.14355746495778388,0.03803763029694486,0.03598413912836303,0.023869529330631658
43,0.14430516709034963,0.03813419160596758,0.036166463231615764,0.023889170419419334
44,0.145045112509827,0.03822842585752767,0.03634938489125859,0.023910270153100086
