"p11","p22","x1","x2","y1","y2"
1.,1.,0.4008722274477201,0.,0.11607560098678205,0.
1.,0.99,0.35311365093100683,0.044473417254927906,0.09964364029309972,0.027454318491788598
1.,0.98,0.3083284594654091,0.06117173539654513,0.08541108469054924,0.03737722794404722
1.,0.97,0.2663651342757065,0.06932412721958779,0.07285565309441652,0.04214855832860013
1.,0.96,0.22773219990249138,0.07280671711918066,0.061844545585482996,0.04417241712624687
1.,0.95,0.19309619239668618,0.07344637946378856,0.052355776932248466,0.044543218682644964
1.,0.94,0.1630834069893465,0.0724134381650288,0.044397919561701034,0.04394429699207881
1.,0.9299999999999999,0.13807419846577,0.07057833542194777,0.037950086122715096,0.04287841076642143
1.,0.92,0.11803679413296508,0.06859137408331373,0.032918230571044885,0.04172163716749093
1.,0.91,0.10250744517140986,0.06687971147685295,0.029127543600670176,0.04072289340072919
1.,0.9,0.0907397044674817,0.06565782583376557,0.026354192455211534,0.04000865677748088
1.,0.89,0.08191633672225224,0.06497905503536032,0.024371296899442285,0.03961143083347845
1.,0.88,0.07530415150089088,0.0648034914872321,0.02298169712460338,0.03950863513236012
1.,0.87,0.07031687116555586,0.06505267662973917,0.022029797874343362,0.03965453108941595
1.,0.86,0.06651485166813284,0.06564180595232018,0.021399348502222172,0.039999285510127824
1.,0.85,0.06357882807202773,0.0664943113106018,0.021005770405146923,0.040497727748605716
1.,0.84,0.06127981352193683,0.06754641074344131,0.020788060920765312,0.041112155416489236
1.,0.83,0.05945370728090067,0.06874705020284176,0.020702136093390007,0.041812369984834855
1.,0.8200000000000001,0.057982243815278986,0.0700561693200932,0.020715886391917588,0.042574685550250624
1.,0.81,0.05677942240456149,0.07144262801143687,0.0208056680112282,0.04338071540649483
1.,0.8,0.055782048205578166,0.0728823114916463,0.020953858197747404,0.04421625291475464
1.,0.79,0.054943178837853573,0.07435656230126828,0.021147158648257707,0.04507034078684478
1.,0.78,0.05422757284521079,0.07585094042432824,0.02137541340716289,0.04593453273712956
1.,0.77,0.05360850606066539,0.07735426370679906,0.021630778384351772,0.04680232084261982
1.,0.76,0.05306552348124352,0.07885787211343619,0.02190713169547187,0.047668695895309844
1.,0.75,0.052582834735728834,0.08035506511567997,0.022199650078756128,0.04852981096822328
1.,0.74,0.05214815616420962,0.08184067097684714,0.022504500927806977,0.04938272380186934
1.,0.73,0.051751865955658644,0.08331071591360288,0.022818615684505862,0.0502251989774907
1.,0.72,0.0513863810893099,0.08476216882057523,0.02313952114181454,0.051055555376146096
1.,0.71,0.05104569313507393,0.08619274327946976,0.023465212441280442,0.051872547994258535
1.,0.7,0.050725019052257514,0.08760074316357722,0.023794056433254895,0.05267527591487671
1.,0.69,0.05042053610321334,0.08898494158548954,0.024124717394060274,0.053463110284038134
1.,0.6799999999999999,0.05012917890399185,0.09034448548285089,0.02445609938049584,0.05423563766473881
1.,0.6699999999999999,0.049848482814036366,0.09167882003455476,0.024787301093164363,0.05499261527810043
1.,0.6599999999999999,0.0495764621916604,0.09298762850010273,0.025117580235321596,0.05573393548172107
1.,0.6499999999999999,0.04931151510612364,0.09427078412545124,0.025446325147298252,0.05645959746653632
